UPC,Description,g sugar, g fats, g sodium, g protein, g carbs, g fiber, calories, serving size
00604147,Almonds, 4, 64, 0, 0, 21, 17, 725, 1 cup
00741811,Dark chocolate orange sticks, 73, 13, 0.05, 0, 98, 4, 512, 1 cup
00568388, Churro bites, 51, 7, 0.37, 0, 126, 5, 560, 1 cup
0583763, Matcha Joe-Joes, 48, 32, 0.28, 93, 4, 646, 1 cup
00537698, Raw Shelled Hemp seed, 4, 60, 0, 43, 9, 9, 768, 1 cup
00563048, Ancient Grains and nuts granola, 11, 13, 7, 39, 5, 293, 1 cup
852500004008, Nana Joes sunset blend granola, 8, 17, 0.170, 49, 7, 394, 1 cup
00473842, Sunflower seeds, 0, 68, 0, 28, 28, 12, 800, 1 cup
017531033162, Wild King Salmon Jerky, 5, 9, 2.88, 9, 0, 366, 1 cup
00435697, Milk 2%, 12, 5, 0.13, 8, 12, 0, 130, 1 cup
00532143, Unsweetened Almond Beverage, 1, 0.180, 1, 2, 1, 40, 1 cup
009668000094, Organic Tricolor Quinoa, 12, 0, 24, 120, 12, 640, 1 cup
000094528800, Organic Popping Corn, 0, 8, 0, 21, 139, 16, 693, 1 cup
00741811, Unsalted Dry Toasted Sliced Almonds, 4, 64, 0, 24, 24, 0, 720, 1 cup
00537162, Organic Unsweetened Flake Coconut, 8, 76, 0.04, 8, 28, 10, 800, 1 cup